Summary Statistics Origin Report  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Delta Airlines Inc. (DL)
Time Period: Sunday, March 1, 2020 to Monday, March 1, 2021

Carriers,Total Number,Average Departure Delay (minutes),Average Taxi-Out (minutes),Average Scheduled Departure to Take-off (minutes),Total Number ,Average Departure Delay (minutes) ,Average Taxi-Out (minutes) ,Average Scheduled Departure to Take-off (minutes) ,Total Number Cancelled,Percent Flights Cancelled,Total Number Diverted,Percent Flights Diverted,Percent Flights Late
"ALL*","43699","1.07","17.43","15.61","3228","68.55","20.75","74.07","3753","8.58","66","0.15","7.39"
"DL","14268","3.40","17.56","20.18","1083","76.85","21.16","88.53","1063","7.45","22","0.15","7.59"


Carriers,Total Flights,Diverted Flights Reaching Scheduled Destination,Diverted Flights,Cancelled Flights,Carrier,Weather,National Aviation System,Security,Late Aircraft Arrival
"ALL*","43699","66","35.40","33.64","30.27","5.87","17.99","0.30","6.53"
"DL","14268","22","30.77","40.85","38.82","6.18","18.42","0.64","6.42"


* Average of all airlines operating at this airport.

SOURCE: Bureau of Transportation Statistics
