Summary Statistics Origin Report  
Origin Airport: Orlando, FL: Orlando International (MCO)
Airline: Delta Airlines Inc. (DL)
Time Period: Friday, March 1, 2019 to Sunday, March 1, 2020

Carriers,Total Number,Average Departure Delay (minutes),Average Taxi-Out (minutes),Average Scheduled Departure to Take-off (minutes),Total Number ,Average Departure Delay (minutes) ,Average Taxi-Out (minutes) ,Average Scheduled Departure to Take-off (minutes) ,Total Number Cancelled,Percent Flights Cancelled,Total Number Diverted,Percent Flights Diverted,Percent Flights Late
"ALL*","145790","12.99","16.07","14.96","29964","71.90","17.69","30.36","2136","1.46","325","0.22","20.55"
"DL","19106","8.86","17.26","21.73","2627","81.99","20.32","70.51","88","0.46","27","0.14","13.75"


Carriers,Total Flights,Diverted Flights Reaching Scheduled Destination,Diverted Flights,Cancelled Flights,Carrier,Weather,National Aviation System,Security,Late Aircraft Arrival
"ALL*","145790","325","33.56","32.50","21.22","4.70","18.06","0.14","27.48"
"DL","19106","27","39.62","39.55","20.54","6.17","23.69","0.08","28.11"


* Average of all airlines operating at this airport.

SOURCE: Bureau of Transportation Statistics
