Summary Statistics Origin Report  
Origin Airport: Phoenix, AZ: Phoenix Sky Harbor International (PHX)
Airline: Delta Airlines Inc. (DL)
Time Period: Friday, March 1, 2019 to Sunday, March 1, 2020

Carriers,Total Number,Average Departure Delay (minutes),Average Taxi-Out (minutes),Average Scheduled Departure to Take-off (minutes),Total Number ,Average Departure Delay (minutes) ,Average Taxi-Out (minutes) ,Average Scheduled Departure to Take-off (minutes) ,Total Number Cancelled,Percent Flights Cancelled,Total Number Diverted,Percent Flights Diverted,Percent Flights Late
"ALL*","180488","8.93","14.72","10.58","31855","58.41","14.19","34.09","2090","1.15","353","0.19","17.65"
"DL","8905","5.49","12.79","-6.95","1069","56.48","13.26","-20.50","4","0.04","14","0.15","12"


Carriers,Total Flights,Diverted Flights Reaching Scheduled Destination,Diverted Flights,Cancelled Flights,Carrier,Weather,National Aviation System,Security,Late Aircraft Arrival
"ALL*","180488","353","43.08","28.59","22.03","0.68","10.47","0.12","25.48"
"DL","8905","14","29.07","22.78","22.06","0.88","11.13","0.00","26.46"


* Average of all airlines operating at this airport.

SOURCE: Bureau of Transportation Statistics
