Summary Statistics Origin Report  
Origin Airport: Denver, CO: Denver International (DEN)
Airline: Delta Airlines Inc. (DL)
Time Period: Sunday, March 1, 2020 to Monday, March 1, 2021

Carriers,Total Number,Average Departure Delay (minutes),Average Taxi-Out (minutes),Average Scheduled Departure to Take-off (minutes),Total Number ,Average Departure Delay (minutes) ,Average Taxi-Out (minutes) ,Average Scheduled Departure to Take-off (minutes) ,Total Number Cancelled,Percent Flights Cancelled,Total Number Diverted,Percent Flights Diverted,Percent Flights Late
"ALL*","194661","2.05","15.89","13.65","17045","57.82","17.71","50.91","11726","6.02","382","0.19","8.76"
"DL","7631","0.76","15.04","10.06","439","75.44","17.86","80.18","364","4.77","8","0.10","5.75"


Carriers,Total Flights,Diverted Flights Reaching Scheduled Destination,Diverted Flights,Cancelled Flights,Carrier,Weather,National Aviation System,Security,Late Aircraft Arrival
"ALL*","194661","382","21.80","25.32","26.57","6.45","9.16","0.03","13.20"
"DL","7631","8","34.25","30.00","27.19","3.76","14.19","0.00","14.32"


* Average of all airlines operating at this airport.

SOURCE: Bureau of Transportation Statistics
