Summary Statistics Airline  
Airline: United Airlines Inc. (UA)
Time Period: Tuesday, January 1, 2019 to Wednesday, January 1, 2020

Carriers,Total Number,Average Departure Delay (minutes),Average Taxi-Out Time (minutes),Average Scheduled Departure to Take-off (minutes),Average Arrival Delay (minutes),Average Airborne Time (minutes),Average Taxi-In Time (minutes),Total Number Cancelled,Percent Flights Cancelled,Total Number Diverted,Percent Flights Diverted
"UA","627566","12.98","19.98","14.71","8.25","156.26","8.01","5390","0.85","1823","0.29"


Carriers,Total Number,Average Departure Delay (minutes),Average Taxi-Out Time (minutes),Average Scheduled Departure to Take-off (minutes),Average Arrival Delay (minutes),Average Airborne Time (minutes),Average Taxi-In Time (minutes),Percent Flights Late
"UA","132302","69.61","27.10","42.74","75.61","159.66","9.43","9.43"


Carriers,Total Flights,Diverted Flights Reaching Scheduled Destination,Diverted Flights,Cancelled Flights,Carrier ,Weather,National Aviation System,Security,Late Aircraft Arrival
"UA","627566","1823","47.29","41.42","16.18","4.56","23.47","0.01","31.37"

 SOURCE: Bureau of Transportation Statistics
